TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0xc9d8daf473ab6fc06b5a9d6d33f03cb0c2ba1fb6cff9fef811b7ac95eb1fb9a6,20054829,2024-04-07 07:43:05.000000Z,0x162ca1810B14F7f3cAE0E02b4CA1510Bc1cA9d01,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15378546222000000000,ok,,,,
0x3cdd7de9cbee08ec89ac47db2f396b7e3ac61f97390fa9368751e5601400f1ca,20054806,2024-04-07 07:38:45.000000Z,0x162ca1810B14F7f3cAE0E02b4CA1510Bc1cA9d01,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11025473634000000000,ok,,,,
0xe3233e2f4fcbdaf47a225461bc82490b30234f44ee5d8081ed287ff7b9bb801b,20054806,2024-04-07 07:38:45.000000Z,0x162ca1810B14F7f3cAE0E02b4CA1510Bc1cA9d01,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17343479034000000000,ok,,,,
0x6375eca433afb040bda3331d3673aa034196f9c6c303fa8281e9d93f8d7123ae,20054790,2024-04-07 07:35:55.000000Z,0xd2A672bCE1455906C47daBdf30a9078FFAcD806a,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,12755702906988391392,ok,,,,
0x7bac5ec325a50b4d178f14f03f01fa22ac0b3e7fd597e043e85eb89d79ccd634,20054765,2024-04-07 07:31:35.000000Z,0xF4F906380bde006E40f60123C92814b27ebFDeD9,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16114379188544465292,ok,,,,
0x552ee4c223d9633433ee80f1619556143c8c226a02693368a9b68d9b2f9165e2,20054715,2024-04-07 07:22:55.000000Z,0xb44aE416Bb52772B65b5565eCDc8dc5fE5F00a9a,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,21598765880044531806,ok,,,,
0x72ddcc21321d554161724f98ef6a902114a13af8cddd02656a43fcff144cf9fd,20054691,2024-04-07 07:18:35.000000Z,0xb44aE416Bb52772B65b5565eCDc8dc5fE5F00a9a,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,20276182873141098111,ok,,,,
0x8a91b58c7959739ca0f1f7d672c2c9d6027aae00a2f4e1b4c0a8ca2ddbd93665,20054502,2024-04-07 06:45:05.000000Z,0x3f23E69200b4Cf395779c0D3d9C651B1DF89E7A6,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17625858417000000000,ok,,,,
0xace6a87d4d07c5f610220372d0ee1c530986665a7d5db8c9172ac45ca32febdc,20054485,2024-04-07 06:41:45.000000Z,0xB10E8451Ab27b0eC58307FB4671e9a4f5b156FE0,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11244725595000000000,ok,,,,
0x900e802c441f75f824c42a9d8ec486f8173bf93e361020de957a6c88a9be5d12,20054477,2024-04-07 06:40:25.000000Z,0x85b1Bcd80C942b27b4D30a3f74551bc84518F2A9,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11244725595000000000,ok,,,,
